number,state,state_reason,title,url,updated_at,body_sha256,retrieved_comments,comments_sha256,reviewer,method
1,closed,completed,[CRITICAL] No authentication on HTTP API,https://github.com/alphaonedev/ai-memory-mcp/issues/1,2026-04-02T20:08:53Z,660c5ac539b845cd8529b90a4b32984ab33ce224d39232d0a5f4153871ad0c54,1,5c6a5b1ca5bc99e2e4fbd6f4b55fff18e6423133c946a361025d7422f1ca5d2e,retrieval,full-input automated screen; bounded body/closure panel screen; selected threads read fully
2,closed,completed,[CRITICAL] No request body size limits on HTTP server,https://github.com/alphaonedev/ai-memory-mcp/issues/2,2026-04-02T20:08:55Z,c44a00e597753e721c76eb815235f076f50ffe3910e9d1647a8af1e5f6e8e56a,1,83b464f91656d6bbaf83e4078ca714c7e6243ca21fc2455ba5556765316a3cd1,security,full-input automated screen; bounded body/closure panel screen; selected threads read fully
3,closed,completed,[CRITICAL] Sync doesn't re-validate remote memories,https://github.com/alphaonedev/ai-memory-mcp/issues/3,2026-04-02T20:08:58Z,fa86fca59b395d6c921a8f38f6e7a19acfa5212b9ed1d981295f65b45f44b73b,1,affd3f45ceb875910df6fe082d71c46afd0622b251a71d1642f07ab3bca22d67,enterprise,full-input automated screen; bounded body/closure panel screen; selected threads read fully
4,closed,completed,[CRITICAL] Panic on short IDs in display code,https://github.com/alphaonedev/ai-memory-mcp/issues/4,2026-04-02T20:09:01Z,205c6261830564a772afe292647bb4c745883e2f1f67a6031c255f7f56bb7d81,1,19da51b2d472778d9aa066f949560f3fb0e90c44ac792fba524da0a8dbc9f9cc,root,full-input automated screen; bounded body/closure panel screen; selected threads read fully
6,closed,completed,[CRITICAL] MCP: no validation of arguments field,https://github.com/alphaonedev/ai-memory-mcp/issues/6,2026-04-02T20:09:04Z,45857f151661426960b3d5c1813d712d6e368f741659b07d81911088967bb01f,1,30be95e586d22c771443c8613019d24d1f0d1908cb816d6c6577dc0226267007,retrieval,full-input automated screen; bounded body/closure panel screen; selected threads read fully
5,closed,completed,[HIGH] FTS sanitizer incomplete,https://github.com/alphaonedev/ai-memory-mcp/issues/5,2026-04-02T20:09:51Z,3eb9f33063f675ad30e709a78788c872986cd609a7d31198873cb92fb455fd10,1,46f62a7c6beca61f610c6274cf89a8de1565107f3ce1b096324c204ae5510d78,security,full-input automated screen; bounded body/closure panel screen; selected threads read fully
7,closed,completed,"[HIGH] MCP: tags schema says array, handler reads as string",https://github.com/alphaonedev/ai-memory-mcp/issues/7,2026-04-02T20:09:53Z,fe937564bc4554dcbd1561707d94c092c8d7cd328ba26856d2998aa9aea673b4,1,88ea08f1b99b27671a472e831d95e6d60517526b40e3ad8684f796ffc048e839,enterprise,full-input automated screen; bounded body/closure panel screen; selected threads read fully
9,closed,completed,[CRITICAL] MCP tool errors use wrong response format,https://github.com/alphaonedev/ai-memory-mcp/issues/9,2026-04-02T20:09:06Z,daad4c821bd3ea25c2a86ee02f1e3ff8645f60d113052d7eb04849190615ff23,1,1338a8279a116eb34b05525fa766c971f39d9dc07df77b1a5a9ee64b1b988b51,root,full-input automated screen; bounded body/closure panel screen; selected threads read fully
8,closed,completed,[HIGH] MCP: JSON-RPC version never validated,https://github.com/alphaonedev/ai-memory-mcp/issues/8,2026-04-02T20:09:53Z,8a357580dce90a33a72024eba073ce6bf15a8fc9592b40b7cc7e0bac1bb6110e,1,d0655ea5cac71220bd2cbabd00477a3e1942457e55619f836bdad97f999de3bc,retrieval,full-input automated screen; bounded body/closure panel screen; selected threads read fully
10,closed,completed,[HIGH] Zero MCP protocol tests,https://github.com/alphaonedev/ai-memory-mcp/issues/10,2026-04-02T20:09:52Z,e1a26711127eb217830ceda303079ba8b37fa67bff857cd87b00d1ee253eb4c9,1,45f26034d4f8b5d994939ff05bb60df6430e88b0971a7205fc8371e94715b225,security,full-input automated screen; bounded body/closure panel screen; selected threads read fully
11,closed,completed,[HIGH] Only 1 of 20 HTTP endpoints tested,https://github.com/alphaonedev/ai-memory-mcp/issues/11,2026-04-02T20:09:50Z,f231b3460788cce600fbcd9ba09ddf3ffb94e84172dca3a15ffad651fb70ab31,1,29ed7a256771f8f2a9c56688fd6c3edff32c99564a79903ff62b9a756df3f84e,enterprise,full-input automated screen; bounded body/closure panel screen; selected threads read fully
13,closed,completed,[HIGH] No dependency audit in CI,https://github.com/alphaonedev/ai-memory-mcp/issues/13,2026-04-02T20:09:51Z,5b4003b076e71bdcd34d7925836f24c5ce4e040c55e5cb9f7438be6a2e854d39,1,95751dcd3f167be415c4bf2ceb79ce342265708cf5c928ba623ea3bb3a96b8ea,root,full-input automated screen; bounded body/closure panel screen; selected threads read fully
12,closed,completed,[CRITICAL] Silent error swallowing in recall() touch loop,https://github.com/alphaonedev/ai-memory-mcp/issues/12,2026-04-02T20:09:10Z,21b56a29e8b5fdadca317cdffb71e8ea8015d91545ebf6312757ccc6deb45063,1,ebcd6528d7c3dec2d3c2cc4b59588072b4f933196876c785b97d1681e54ba1fd,retrieval,full-input automated screen; bounded body/closure panel screen; selected threads read fully
14,closed,completed,[MEDIUM] No CORS configuration,https://github.com/alphaonedev/ai-memory-mcp/issues/14,2026-04-02T20:09:53Z,278be249cdca09c1497199ce88261e4c8117deee1f74c42d4e7fd43b053260c5,1,c2e8e201c01d3e35d19ac3ded66f9a787c7d980509062d817cc54ac3e0c5122a,security,full-input automated screen; bounded body/closure panel screen; selected threads read fully
15,closed,completed,[MEDIUM] Silent ROLLBACK failure in touch() and consolidate(),https://github.com/alphaonedev/ai-memory-mcp/issues/15,2026-04-02T20:09:51Z,f94bd5f9e9ed0d0295206990a8ac8b28477f1064cc7eea6d3509dcce580c81a6,1,a36f04779503879f56a899ab32d9af3077769333579235ff7a45f453009c5972,enterprise,full-input automated screen; bounded body/closure panel screen; selected threads read fully
17,closed,completed,[MEDIUM] Fragile migration logic,https://github.com/alphaonedev/ai-memory-mcp/issues/17,2026-04-02T20:09:51Z,317aedeca6a773a96afd68a02802a5925ec5476343a17adb875e1de784a6329b,1,eb71aa31e55a2ebfebc509863888aaa0e0a91d41f4c65167e813d08e0b7e059b,root,full-input automated screen; bounded body/closure panel screen; selected threads read fully
16,closed,completed,[MEDIUM] Length checks are byte-based not char-based,https://github.com/alphaonedev/ai-memory-mcp/issues/16,2026-04-02T20:09:53Z,c49cb9193c69306f7a9cf5390c71117c04fa1c74a23b02db50593f7d86775380,1,a8c8277c4913dbf299d13f23340abb86cbb5c9502e1c092c2002d9a825870bdd,retrieval,full-input automated screen; bounded body/closure panel screen; selected threads read fully
